run,slug,layer,class,n,frac,shift_mean_abs,shift_median_abs,shift_p95_abs,shift_max_abs,shift_mean_signed,norm_ratio_median,feature_sharing_ratio
seed1,llama-dpo,11,aligned_only,2640,0.107422,1.47922e-05,4.19621e-06,5.78755e-05,0.000487206,1.39818e-05,1.33354,0.87679
seed1,llama-dpo,11,base_only,388,0.0157878,2.17606e-05,1.43322e-05,6.22007e-05,0.000357361,-2.1642e-05,0.61856,0.87679
seed1,llama-dpo,11,shared_aligned,1476,0.0600586,0.00528941,0.000239081,0.0315292,0.972448,0.00139179,1,0.87679
seed1,llama-dpo,11,shared_attenuated,2167,0.0881755,1.65761e-05,3.73334e-06,7.75927e-05,0.000370222,-1.59818e-05,0.76631,0.87679
seed1,llama-dpo,11,shared_intermediate,3,0.00012207,1.55256e-05,2.30953e-05,2.32566e-05,2.32745e-05,-1.55256e-05,0.959954,0.87679
seed1,llama-dpo,11,shared_redirected,17902,0.728434,0.00048529,1.66063e-06,6.81693e-05,0.0762898,-4.92843e-05,1.00138,0.87679
seed1,llama-grpo,11,aligned_only,2607,0.106079,1.37045e-05,3.43024e-06,5.52519e-05,0.000433614,1.28521e-05,1.32354,0.879028
seed1,llama-grpo,11,base_only,366,0.0148926,2.01953e-05,1.3138e-05,5.92821e-05,0.000326591,-2.00893e-05,0.619152,0.879028
seed1,llama-grpo,11,shared_aligned,1475,0.0600179,0.00832667,0.000270471,0.0504231,1.00768,0.00256164,1,0.879028
seed1,llama-grpo,11,shared_attenuated,2158,0.0878092,2.355e-05,3.15014e-06,7.47249e-05,0.0163399,-2.30941e-05,0.768248,0.879028
seed1,llama-grpo,11,shared_intermediate,1,4.06901e-05,1.96729e-05,1.96729e-05,1.96729e-05,1.96729e-05,-1.96729e-05,0.877944,0.879028
seed1,llama-grpo,11,shared_redirected,17969,0.73116,0.000480467,1.3671e-06,6.20859e-05,0.0734802,-4.73241e-05,1.00111,0.879028
seed1,llama-kto,11,aligned_only,917,0.0373128,4.68272e-05,1.56239e-05,9.52492e-05,0.0164838,1.07402e-05,1.65008,0.946899
seed1,llama-kto,11,base_only,388,0.0157878,1.89974e-05,1.38648e-05,5.41781e-05,0.000202631,-1.89279e-05,0.62305,0.946899
seed1,llama-kto,11,shared_aligned,1475,0.0600179,0.0942162,0.000866768,0.141294,7.08325,0.07056,1,0.946899
seed1,llama-kto,11,shared_attenuated,1881,0.0765381,0.000113817,4.07322e-06,7.15138e-05,0.0544623,-8.62984e-05,0.758343,0.946899
seed1,llama-kto,11,shared_intermediate,8,0.000325521,5.30283e-05,4.91937e-05,0.000109544,0.000121078,3.25138e-05,1.22344,0.946899
seed1,llama-kto,11,shared_redirected,19907,0.810018,0.000446271,1.74315e-06,5.07559e-05,0.0756825,-3.82528e-05,1.01925,0.946899
seed1,llama-orpo,11,aligned_only,708,0.0288086,0.010039,0.000262812,0.00412997,4.32878,0.010039,5.13877,0.926636
seed1,llama-orpo,11,base_only,1095,0.0445557,6.53262e-05,4.08442e-05,0.000204536,0.000733718,-6.52513e-05,0.608067,0.926636
seed1,llama-orpo,11,shared_aligned,1474,0.0599772,0.0175807,0.00120481,0.0462491,2.29683,0.000645661,1,0.926636
seed1,llama-orpo,11,shared_attenuated,2290,0.0931803,6.25643e-05,1.48394e-05,8.79226e-05,0.0469087,-6.21054e-05,0.738198,0.926636
seed1,llama-orpo,11,shared_intermediate,245,0.00996908,0.000197919,0.000155155,0.000524331,0.0010599,0.000183521,2.13219,0.926636
seed1,llama-orpo,11,shared_redirected,18764,0.763509,0.000442889,9.81989e-06,0.000115735,0.0734852,-5.72912e-05,1.02736,0.926636
seed1,llama-simpo,11,aligned_only,2606,0.106038,1.4945e-05,4.27767e-06,6.02335e-05,0.000508836,1.41762e-05,1.33598,0.878418
seed1,llama-simpo,11,base_only,382,0.0155436,8.7194e-05,1.40819e-05,6.73809e-05,0.025076,4.41865e-05,0.617819,0.878418
seed1,llama-simpo,11,shared_aligned,1475,0.0600179,0.00638713,0.000228819,0.034262,0.854671,0.00137352,1,0.878418
seed1,llama-simpo,11,shared_attenuated,2142,0.0871582,1.66146e-05,3.61183e-06,8.23131e-05,0.000368979,-1.61004e-05,0.766465,0.878418
seed1,llama-simpo,11,shared_intermediate,2,8.13802e-05,2.51363e-05,2.51363e-05,3.13578e-05,3.20491e-05,-2.51363e-05,0.912081,0.878418
seed1,llama-simpo,11,shared_redirected,17969,0.73116,0.000486165,1.70696e-06,7.09712e-05,0.0734732,-4.01392e-05,1.0015,0.878418
seed1,qwen-dpo,24,aligned_only,7782,0.37998,0.00172389,0.000727874,0.00538772,0.0796746,0.00127923,1.04896,0.619873
seed1,qwen-dpo,24,base_only,3,0.000146484,0.0149356,0.0177743,0.0238835,0.0245623,-0.0149356,0.620389,0.619873
seed1,qwen-dpo,24,shared_aligned,2298,0.112207,0.0583287,0.00130679,0.342342,2.65245,0.00836388,1,0.619873
